compositionId,recipeId,quantity,unit,ingredientId
503,109,.5,oz,118
504,109,.75,oz,166
505,109,1,splash,31
506,110,2,oz,593
507,110,.5,oz,1076
508,110,.75,oz,26
509,110,.75,oz,1017
510,110,1,,86
511,110,,,537
512,111,1.5,oz,398
513,111,.5,oz,1087
514,111,2,dash,500
515,111,,,492
516,112,1.5,oz,1153
517,112,.5,oz,1076
518,112,.5,oz,1023
519,112,.5,oz,382
520,112,.75,oz,907
521,112,1,,936
522,112,1,dash,1151
523,113,2,oz,298
524,113,6,oz,158
525,113,1.5,tsp,1221
526,113,.5,oz,166
527,114,1.5,oz,1076
528,114,.5,oz,550
529,114,.5,oz,1052
530,114,.5,oz,1088
531,114,.75,oz,1082
532,114,1,dash,61
533,115,2,oz,98
534,115,1,oz,1074
535,115,.5,oz,690
536,115,.5,oz,530
537,116,1,oz,753
538,116,1,oz,98
539,116,2,oz,966
540,117,1.5,oz,441
541,117,.5,oz,907
542,117,.5,oz,424
543,117,.25,oz,1078
544,118,2,oz,298
545,118,1,oz,893
546,118,2,dash,1078
547,118,,,246
548,119,2,oz,494
549,119,.5,oz,1044
550,119,.25,oz,356
551,119,1,bsp,1078
552,119,1,bsp,299
553,119,2,dash,1211
554,120,1,oz,912
555,120,1.5,oz,441
556,120,1,bsp,424
557,120,1,dash,636
558,121,1.5,oz,494
559,121,.75,oz,640
560,121,.25,oz,555
561,121,2,dash,475
562,121,2,dash,500
563,122,1.5,oz,494
564,122,1.5,oz,76
565,122,1,dash,9
566,122,3,dash,906
567,123,1.5,oz,398
568,123,.75,oz,1098
569,123,.5,oz,424
570,123,.25,oz,483
571,124,1,oz,119
572,124,1.5,oz,561
573,124,.5,oz,315
574,124,.75,oz,827
575,125,1.5,part,977
576,125,.25,part,860
577,125,.75,part,1014
578,125,.5,part,521
579,125,1,part,767
580,125,1,part,166
581,125,.5,part,1164
582,125,2,part,1216
583,126,2,oz,298
584,126,.75,oz,166
585,126,.75,oz,532
586,126,.5,oz,397
587,126,,,352
588,126,,,186
589,127,2,oz,623
590,127,1,oz,1030
591,127,1,oz,282
592,127,4,dash,335
593,127,9,drops,471
594,128,1.5,oz,627
595,128,.75,oz,1210
596,128,.125,oz,764
597,128,8,dash,471
598,129,1,oz,59
599,129,1,oz,1100
600,129,.75,oz,588
601,129,.75,oz,166
602,129,1,bsp,523
603,130,2,oz,441
604,130,.5,oz,909
605,130,6,dash,374
606,130,3,dash,1019
607,131,1.5,oz,494
608,131,.5,oz,937
609,131,1.5,oz,133
610,131,.5,oz,827
611,131,.5,oz,1131
612,131,1,,86
613,131,,,288
614,132,1.5,oz,298
615,132,.75,oz,495
616,132,.75,oz,169
617,132,.75,oz,827
618,132,.5,oz,397
619,133,2,oz,547
620,133,.5,oz,827
621,133,.5,oz,656
622,133,.25,oz,42
623,133,.5,oz,245
624,133,.5,oz,86
625,134,4,oz,1026
626,134,1,bsp,367
627,135,1.5,oz,398
628,135,.75,oz,424
629,135,.5,oz,860
630,135,.25,oz,1027
631,135,.16,oz,1078
632,135,.5,oz,597
633,135,.5,oz,827
634,136,1.5,oz,550
635,136,.5,oz,166
636,136,.75,oz,846
637,136,1,oz,1056
638,136,3,oz,769
639,136,,,1174
640,136,,,797
641,136,,,326
642,136,,,797
643,136,,,358
644,136,,,87
645,136,,,67
646,136,,,833
647,137,1,oz,79
648,137,2,oz,653
