ingredientId,ingredientName
881,oz Cucumber wheels
882,oz Junipero Gin
883,Activated Charcoal
884,Ginger-Vanilla Syrup
885,Fresh cilantro (stems on)
886,Tempus Fugit Alessio Vermouth Chinato
887,oz Mexican Coca Cola
888,Rich Honey Syrup
889,Fee Brothers Rhubard bitters
890,Belstar Sparkling Rose
891,House-made Citrus Bitters
892,Ardbeg Ten
893,Tempus Fugit Alessio Vermouth Bianco
894,Fresh squeezed lime juice
895,Hazelnut Cinnamon syrup
896,Honey Jalapeño syrup
897,splash Club Soda
898,Burned Demerara Sugar Syrup
899,Amaro
900,Chamucos Blanco Tequila
901,Caper berry
902,Bundaberg Ginger Beer
903,part Fee Brothers Whiskey Barrel Bitters
904,High West Oat Whisky
905,Mandarine Napoléon
906,Islay Scotch
907,Lemon juice
908,Madeira
909,Penny Blue Mauritian Rum
910,Cherry Brandy
911,Strawberry & Black Pepper Shrub
912,Old Potrero Straight Rye Whiskey
913,Pineapple Gomme Syrup
914,Grade-A dark maple syrup
915,Sauternes
916,Liquid Alchemist Orgeat
917,Karlsson's Gold Vodka (Coffee-Infused)
918,pinch Grey Sea Salt
919,Clove Tincture
920,Raspberries
921,bag Chai Tea
922,Bonded Rye
923,Puer Black Tea
924,Mathilde Orange XO Liqueur
925,St. Elizabeth Allspice Dram
926,Briottet Creme de Banane
927,Orange Peel
928,Gran Classico
929,oz Honey Syrup
930,Citric Acid or Lime Juice
931,Carpano Antica
932,Bittercube Corazon Bitters
933,Rich Simple (2:1)
934,Tart Cherry Juice
935,Drambuie
936,Egg white
937,Orange Liquor
938,Blood orange sorbet
939,Aviation Gin
940,Thai Coconut Milk
941,Black pepper
942,Cyril Zangs Double Zero Eau de Vie de Cidre
943,Small Hand Foods Orgeat
944,rinse Eau de Vie
945,BarSol Selecto Acholado Pisco
946,Real Cranberry Juice
947,Jack Daniel's
948,Pumpkin vodka
949,Dale DeGroff's Pimento Aromatic Bitters
950,zested (plus flesh of one lemon)
951,Fresh Squeezed Lemon Juice
952,Apple Bitters
953,Blended Lightly Aged Rum
954,Ypioca Cachaca Prata
955,Pressed apple juice
956,Wild Turkey 101 Rye
957,oz Ginger snaps
958,Mint leaves
959,Oloroso & Moscatel Blend
960,Golden Sesame Honey
961,Pumpkin-Infused Glenrothes Vintage Reserve
962,Cinnamon Sticks
963,oz Vanilla Syrup
964,float Bitter Lemon Soda
965,Lemongrass ginger syrup
966,Club Soda
967,Fresh Lime Juice
968,Doug Fir Riesling Syrup
969,Coconut Vinegar
970,Brown Sugar Syrup (2:1)
971,Cream (Half & Half)
972,Woodford Reserve Double Oaked
973,Black Peppercorns
974,Red bell pepper
975,Carpano Antica Vermouth
976,Orange Bitters
977,Gin
978,Agave Syrup
979,Sugar Cube
980,Squeeze of Lime
981,Cinnamon Tincture
982,Beet Sugar Water
983,Good quality sharp lemonade
984,BarSol Primero Quebranta Pisco
985,Espresso powder
986,Cream of Coconut
987,Reed's Premium Ginger Brew
988,Soy milk coffee foam
989,Spring Water
990,Pure Cane Simple Syrup
991,Fresh cucumber juice
992,Potato juice
993,Ancho Reyes
994,Tarragon leaves
995,Fragoli Strawberry
996,Pineapple juice
997,Genepy
998,Rittenhouse Rye
999,large Mint Leaves
1000,Pear Brandy
1001,Noilly Prat Ambre Vermouth
1002,Hirsch Small Batch Reserve Bourbon
1003,Genevieve Gin
1004,Pomegranate juice
1005,Fresh Thyme
1006,Luxardo Espresso Italian Liqueur
1007,Blended Scotch
1008,Pink Peppercorns
1009,Demarara Simple Syrup
1010,The Genuine Curacao Liqueur Orange
