cocktailId,cocktailName
633,Bay Shandy
634,A Southern Jackass
635,Delicious Sour
636,Kiss Of Persuasion
637,Solera Sidecar
638,Georgia Old Fashioned
639,Sorriso (Adapted)
640,"Lox, Stock & Two Smoking Barrels"
641,Negroni D'Amore
642,Obituary Cocktail
643,Black Jam
644,OH Snap!
645,La Maracuja
646,Paradiso Sun
647,Kanazawa
648,Tropical Bronzer
649,"Yes, Queen!"
650,Hotaling Seaside Shandy
651,3 & Tree Tonic
652,Mott and Mulberry
653,The 42nd Round
654,Le Femme Nikita
655,Mauritius Sour
656,King's Mule
657,Fizzy Rhubarb Mule
658,Margarita Ahumeada
659,Engaged and Cant-Aloupe
660,Mango No. 3
661,La Perle de Verre
662,Off the Radar
663,Cuba Liberation
664,Still Life of a Pineapple
665,Pineapple Express
666,Union Jack
667,Pistachio Follies
668,Blue 88
669,The King's Ginger Summer Cup
670,Bachelor's Bait
671,California's Callin'
672,Paloma
673,The Pink Aperitivo
674,Carrier Pigeon (an Airmail with Pink Pigeon)
675,Clover Holiday Cocktail
676,The Boys of Summer Cup
677,No.3 Bramble
678,True Dish
679,"Eat, Drink and Be Cherry"
680,Sorrentino
681,Junipero Gin and Tonic
682,Beachcomber
683,A Regal Air 
